Predecessors	Service Category	Task Name	Assignments	Pln Hrs	Planned Revenue	Duration	Start On	Due On	% Complete	Actual Hours	Actual Revenue	EAC
		Creative Strategy / Campaign Plan Deck		1272 Hours	$0	195 Days	4/23/26	2/3/27	0%	0 Hours	$0	1,272
		Creative Strategy / Campaign Plan Deck		424 Hours	$0	89 Days	4/23/26	8/28/26	0%	0 Hours	$0	424
2		Activation Ideas		29 Hours	$0	3.62 Days	8/28/26	9/3/26	0%	0 Hours	$0	29
3		Idea Write-Ups		0 Hours	$0	0 Days	9/3/26	9/3/26	0%	0 Hours	$0	0
4		Idea Write-Ups		3 Hours	$0	0.38 Days	9/3/26	9/3/26	0%	0 Hours	$0	3
5		Idea Write-Ups		2 Hours	$0	0.25 Days	9/3/26	9/3/26	0%	0 Hours	$0	2
6		Idea Write-Ups		11 Hours	$0	1.38 Days	9/3/26	9/5/26	0%	0 Hours	$0	11
7		Idea Write-Ups		9 Hours	$0	1.12 Days	9/5/26	9/9/26	0%	0 Hours	$0	9
8		Internal Review & Critique		0 Hours	$0	0 Days	9/9/26	9/9/26	0%	0 Hours	$0	0
9		Internal Review & Critique		1 Hour	$0	0.12 Days	9/9/26	9/9/26	0%	0 Hours	$0	1
10		Client Review & Revisions		0 Hours	$0	0 Days	9/9/26	9/9/26	0%	0 Hours	$0	0
11		Client Review & Revisions		1 Hour	$0	0.12 Days	9/9/26	9/9/26	0%	0 Hours	$0	1
12		Client Review & Revisions		1 Hour	$0	0.12 Days	9/9/26	9/9/26	0%	0 Hours	$0	1
13		Client Review & Revisions		1 Hour	$0	0.12 Days	9/9/26	9/9/26	0%	0 Hours	$0	1
14		Art Direction		21 Hours	$0	2.62 Days	9/9/26	9/12/26	0%	0 Hours	$0	21
15		Moodboards & References		0 Hours	$0	0 Days	9/12/26	9/12/26	0%	0 Hours	$0	0
16		Moodboards & References		2 Hours	$0	0.25 Days	9/12/26	9/14/26	0%	0 Hours	$0	2
17		Moodboards & References		12 Hours	$0	1.5 Days	9/14/26	9/16/26	0%	0 Hours	$0	12
18		Moodboards & References		4 Hours	$0	0.5 Days	9/16/26	9/16/26	0%	0 Hours	$0	4
19		Internal Review & Critique		0 Hours	$0	0 Days	9/16/26	9/16/26	0%	0 Hours	$0	0
20		Internal Review & Critique		1 Hour	$0	0.12 Days	9/16/26	9/16/26	0%	0 Hours	$0	1
21		Client Review & Revisions		0 Hours	$0	0 Days	9/16/26	9/16/26	0%	0 Hours	$0	0
22		Client Review & Revisions		1 Hour	$0	0.12 Days	9/16/26	9/17/26	0%	0 Hours	$0	1
23		Client Review & Revisions		1 Hour	$0	0.12 Days	9/17/26	9/17/26	0%	0 Hours	$0	1
24		Brand Approach for Campaign Period		23 Hours	$0	2.88 Days	9/17/26	9/22/26	0%	0 Hours	$0	23
25		Approach Outline		0 Hours	$0	0 Days	9/22/26	9/22/26	0%	0 Hours	$0	0
