Project_Name,WBS_ID,Parent_WBS_ID,Task_Name,Deliverable,Component,Task,Role,Seniority,Planned_Hours,Start_Offset_Days,Duration_Days,Dependencies,Assignee_External_ID,Notes
Proposal 2025-09-10,1.1,1,Development,Development,,,,,227.29000000000002,0,22,,,Core / T2_MediumVolume
Proposal 2025-09-10,1.1.1,1.1,research,Development,,research,,,,,3,,,
Proposal 2025-09-10,1.1.2,1.1,design_prod,Development,,design_prod,,,,,7,,,
Proposal 2025-09-10,1.1.3,1.1,qa,Development,,qa,,,,,2,,,
Proposal 2025-09-10,1.1.4,1.1,development,Development,,development,,,,,10,,,
Proposal 2025-09-10,1.2,1,Reporting,Reporting,,,,,108.74999999999999,0,5,,,Core / T2_MediumVolume
Proposal 2025-09-10,1.2.1,1.2,qa,Reporting,,qa,,,,,2,,,
Proposal 2025-09-10,1.2.2,1.2,reporting,Reporting,,reporting,,,,,3,,,
Proposal 2025-09-10,1.2.3,1.2,general,Reporting,,general,,,,,0,,,
Proposal 2025-09-10,1.3,1,Reporting,Reporting,,,,,58.43,0,15,,,Core / T2_MediumVolume
Proposal 2025-09-10,1.3.1,1.3,copywriting,Reporting,,copywriting,,,,,3,,,
Proposal 2025-09-10,1.3.2,1.3,qa,Reporting,,qa,,,,,2,,,
Proposal 2025-09-10,1.3.3,1.3,analytics_tagging,Reporting,,analytics_tagging,,,,,3,,,
Proposal 2025-09-10,1.3.4,1.3,reporting,Reporting,,reporting,,,,,3,,,
Proposal 2025-09-10,1.3.5,1.3,pm_admin,Reporting,,pm_admin,,,,,2,,,
Proposal 2025-09-10,1.3.6,1.3,status_meeting,Reporting,,status_meeting,,,,,2,,,
Proposal 2025-09-10,1.3.7,1.3,general,Reporting,,general,,,,,0,,,
Proposal 2025-09-10,1.4,1,Post-Production,Post-Production,,,,,188.33,0,41,,,Core / T2_MediumVolume
Proposal 2025-09-10,1.4.1,1.4,research,Post-Production,,research,,,,,3,,,
Proposal 2025-09-10,1.4.2,1.4,prepro_docs,Post-Production,,prepro_docs,,,,,4,,,
Proposal 2025-09-10,1.4.3,1.4,edit,Post-Production,,edit,,,,,5,,,
Proposal 2025-09-10,1.4.4,1.4,motion,Post-Production,,motion,,,,,7,,,
Proposal 2025-09-10,1.4.5,1.4,color,Post-Production,,color,,,,,2,,,
Proposal 2025-09-10,1.4.6,1.4,retouch,Post-Production,,retouch,,,,,3,,,
Proposal 2025-09-10,1.4.7,1.4,sound,Post-Production,,sound,,,,,2,,,
Proposal 2025-09-10,1.4.8,1.4,qa,Post-Production,,qa,,,,,2,,,
Proposal 2025-09-10,1.4.9,1.4,analytics_tagging,Post-Production,,analytics_tagging,,,,,3,,,
Proposal 2025-09-10,1.4.10,1.4,internal_review,Post-Production,,internal_review,,,,,2,,,
Proposal 2025-09-10,1.4.11,1.4,client_review,Post-Production,,client_review,,,,,3,,,
Proposal 2025-09-10,1.4.12,1.4,library,Post-Production,,library,,,,,3,,,
Proposal 2025-09-10,1.4.13,1.4,notes_triage,Post-Production,,notes_triage,,,,,2,,,
Proposal 2025-09-10,1.4.14,1.4,general,Post-Production,,general,,,,,0,,,
